manufacturer,antennaModel,notes
Andrew,P6-65E,
ANDREW,PAR6-65A,
Andrew,PAR6-65A RF,
Andrew,PL10-65D,
Andrew,PL8-59WB,
ANDREW CORP,HP6-65J,
Andrew Corp,HP8-59WA,
Andrew Corp,PAR6-59W RF,
ANDREW CORP.,HP8-65E,
ANDREW CORPORATION,HP10-65,
ANDREW CORPORATION,HP8-65E,
ANDREW CORPORATION,P10-65C,
Andrew Corporation,P6-65E,
ANDREW CORPORATION,PAR6-65A RF,
ANDREW CORPORATION,PAR6-65B RF,
ANDREW CORPORATION,PAR8-65B RF,
ANDREW CORPORATION,PARX6-59W,
ANDREW CORPORATION,PARX8-59W,
Andrew Corporation,PL10-59WA,
ANDREW CORPORATION,PL10-65D,
ANDREW CORPORATION,PL12-65E,
ANDREW CORPORATION,PL6-59E,
ANDREW CORPORATION,PL6-65D,
ANDREW CORPORATION,PL6-65F,
ANDREW CORPORATION,PL6-65G,
ANDREW CORPORATION,PL8-59WB,
ANDREW CORPORATION,PL8-59wb,
ANDREW CORPORATION,PL8-65D,
ANDREW CORPORATION,UHX6-59W RF,
CABLEWAVE,DA6-65,
Cablewave,DA6-65A,
CABLEWAVE SYSTEMS,DA10-65AC,
CABLEWAVE SYSTEMS,DA15-65A,
CABLEWAVE SYSTEMS,DA6-59,From Peter E's 06062021 data
Cablewave Systems,DA6-65,
CABLEWAVE SYSTEMS,PAD8-65AC,
Cablewave Systems,PAL8-65A,
Cablewave Systems,PAL8-65A,
COMMSCOPE,HP10-59E,
Commscope,HP10-59G,
Commscope,HP10-59WB,
Commscope,HP10-65D,
Commscope,HP12-59F,
Commscope,HP12-65G,
Commscope,HP6-59K,
Commscope,HP6-59WC,
Commscope,HP6-65K,
Commscope,HP8-59F,
COMMSCOPE,HP8-65E,
COMMSCOPE,HP8-65E,
Commscope,HP8-65E,
Commscope,HP865F,From Peter E's 06062021 data
Commscope,HP8-65F,
Commscope,HPX12-59F,
Commscope,HPX12-59F,
Commscope,HPX8-59E,
COMMSCOPE,HX8-6W,
Commscope,HX8-6W,
Commscope,P10-59D,
Commscope,PAR6-59B,
Commscope,PAR6-65A RF,
COMMSCOPE,PAR8-59W (V)RF,
COMMSCOPE,PAR8-65B RF,
Commscope,PAR8-65B RF,
Commscope,PL10-59D,
Commscope,PL10-59W,
Commscope,PL6-59D,
Commscope,PL8-65D,
Commscope,UHX12-59D RF,
Commscope,UHX12-59E LF,
Commscope,UHX6-59L RF,
GABRIEL ELECTRONIC,DRFB10-64A,
GABRIEL ELECTRONICS,DRFB10-64A,
GABRIEL ELECTRONICS,DRFB10-64CSE,
GABRIEL ELECTRONICS,UCC10W-59B RF,
GABRIEL ELECTRONICS,UOF8-64CSE RF,
Mark Antenna,HP-60120W,
Mark Antenna,HP-60144W,
MARK ANTENNA,P-6596WD,
MARK ANTENNA PRODUCT,P-6596W,
MARK ANTENNA PRODUCT,P-6596WD,
MARK ANTENNA PRODUCTS,65A120 RF,From Peter E's 06062021 data
MARK ANTENNA PRODUCTS,P-65A120 RF,
RADIO FREQUENCY SYSTEMS,DA8-59A,
RADIO FREQUENCY SYSTEMS,DA8-65A,
RFS,DA12-59A,
RFS,DA15-65A,
RFS,DA6-59B,
RFS,DA8-59A,
RFS,PA10-65,
RFS,PAD6-W57A,
RFS,PAD8-65A,
RFS,PAD8-W57A,
RFS,SB6-W60D,
RFS,UXA8-65A RF,
