manufacturer,antennaModel,height_ft,width_ft,height_m,width_m,notes
ALL MANUFA CTURERS,6X8 FT PASSIVE,6,8,1.83,2.44,
ALL MANUFACTURERS,6X8 FT PASSIVE,6,8,1.83,2.44,
MICROFLECT,6 X 8 ft,6,8,1.83,2.44,
ALL,0810RF,8,10,2.44,3.05,
ALL MANUFACTURERS,0810RF,8,10,2.44,3.05,
ALL MANUFACTURERS,8 x10,8,10,2.44,3.05,
ALL MANUFACTURERS,8' X10' Passive,8,10,2.44,3.05,
ALL MANUFACTURERS,8x10 Foot Passive,8,10,2.44,3.05,
ALL MANUFACTURERS,8x10 Ft Passive,8,10,2.44,3.05,
ALL MANUFACTURERS,8X10 FT PASSIVE`,8,10,2.44,3.05,
ALL MANUFACTURERS,8X10 Ft. Passive,8,10,2.44,3.05,
ALL MANUFACTURES,8' X 10' Passive,8,10,2.44,3.05,
ALL MANUFACTURES,8X10 FT PASSIVE,8,10,2.44,3.05,
MICROFLECT,0810RF,8,10,2.44,3.05,
MICROFLECT,2.4m x 3.0 m,8,10,2.44,3.05,
MICROFLECT,2.4m x 3.0m,8,10,2.44,3.05,
MICROFLECT,8' x 10',8,10,2.44,3.05,
MICROFLECT,8 x 10 Ft,8,10,2.44,3.05,
MICROFLECT,8x10 Ft,8,10,2.44,3.05,
NA,8 X 10,8,10,2.44,3.05,
PASSIVE 8X10,0810RF,8,10,2.44,3.05,
ALL MANUFACTURERS,0812RF,8,12,2.44,3.66,From Peter E's 06062021 data
ALL MANUFACTURERS,8 x 12,8,12,2.44,3.66,
ALL MANUFACTURERS,8 x 12 FT PASSIVE,8,12,2.44,3.66,
ALL MANUFACTURERS,8 x 12 PASSIVE,8,12,2.44,3.66,
ALL MANUFACTURERS,8 x 12FT PASSIVE,8,12,2.44,3.66,
ALL MANUFACTURERS,8X12,8,12,2.44,3.66,
ALL MANUFACTURERS,8X12 FT PASSIVE,8,12,2.44,3.66,
ALL MANUFACTURERS,8X12FT PASSIVE,8,12,2.44,3.66,
ALL MANUFACTURERS,8X12FTPassive,8,12,2.44,3.66,
ALL MANUFACTURERS,Passive 08 x 12,8,12,2.44,3.66,
ALL MANUFACTURERS,PASSIVE 08X12,8,12,2.44,3.66,
ALL MANUFACTURES,8X12 FT PASSIVE,8,12,2.44,3.66,
MICROFLECT,812,8,12,2.44,3.66,
MICROFLECT,0812,8,12,2.44,3.66,
MICROFLECT,2.4m x 3.7m,8,12,2.44,3.66,
MICROFLECT,8x12 Ft. Passive,8,12,2.44,3.66,
MICROFLECT,Microflect 8X12,8,12,2.44,3.66,
MICROFLECT,RTM812,8,12,2.44,3.66,
VALMONT,0812-8,8,12,2.44,3.66,
VALMONT MICROFLECT,RTM812,8,12,2.44,3.66,
ALL MANUFACTURERS,8X19 FT PASSIVE,8,19,2.44,5.79,
ALL MANUFACTURERS,10 X 15 FT Passive,10,15,3.05,4.57,
ALL MANUFACTURERS,1015RF,10,15,3.05,4.57,
ALL MANUFACTURERS,10X15 FT PASSIVE,10,15,3.05,4.57,
ALL,10x16 FT PASSIVE,10,16,3.05,4.88,
ALL,Passive 10x16,10,16,3.05,4.88,
ALL MANUFACTURER,10X16,10,16,3.05,4.88,
ALL MANUFACTURERS,10 x 16 FT PASSIVE,10,16,3.05,4.88,
ALL MANUFACTURERS,10 x16 ' PASSIVE,10,16,3.05,4.88,
ALL MANUFACTURERS,1016RF,10,16,3.05,4.88,
ALL MANUFACTURERS,10x16,10,16,3.05,4.88,
ALL MANUFACTURERS,10X16 FT PASSIVE,10,16,3.05,4.88,
ALL MANUFACTURERS,PASSIVE 10 X 16,10,16,3.05,4.88,
ALL MANUFACTURERS,Passive 10x16,10,16,3.05,4.88,
ALL MANUFACTURES,10 X 16 FT  PASSIVE,10,16,3.05,4.88,
ALL MODELS,10x16 FT Passive,10,16,3.05,4.88,
MICORFLECT,P1016,10,16,3.05,4.88,
MICROFLECT,1016,10,16,3.05,4.88,
MICROFLECT,1016RF,10,16,3.05,4.88,
MICROFLECT,10x16,10,16,3.05,4.88,
MICROFLECT,3.0m x 4.9m,10,16,3.05,4.88,
MICROFLECT,P1016,10,16,3.05,4.88,
MICROFLECT,PR3x5,10,16,3.05,4.88,
MICROFLECT COMPANY,1016RF,10,16,3.05,4.88,
PASSIVE REFLECTOR,10 FOOT X 16 FOOT,10,16,3.05,4.88,
PASSIVE REFLECTOR,10 X 16 FOOT,10,16,3.05,4.88,
ALL MANUFACTURERS,PASSIVE 10 X 18,10,18,3.05,5.49,
ALL MANUFACTURERS,10X24 FT PASSIVE,10,24,3.05,7.32,
ALL MANUFACTURERES,Passive 12 x 16 foot,12,16,3.66,4.88,
ALL MANUFACTURERS,1216 RF,12,16,3.66,4.88,
ALL MANUFACTURERS,12FT X16FT,12,16,3.66,4.88,
ALL MANUFACTURERS,12X16 FT PASSIVE,12,16,3.66,4.88,
ALL MANUFACTURERS,Passive 12 x 16 foot,12,16,3.66,4.88,
GENERIC PASSIVE,12 x 16,12,16,3.66,4.88,
MICROFLECT,12 X 16,12,16,3.66,4.88,
MICROFLECT,12 X 16 Passive,12,16,3.66,4.88,
MICROFLEX,12-16,12,16,3.66,4.88,
VALMONT,1216-8,12,16,3.66,4.88,
ALL,Passive 14x16,14,16,4.27,4.88,
ALL MANAUFACTURERS,14x16 FT PASSIVE,14,16,4.27,4.88,
ALL MANUFACTURERS,14 x 16,14,16,4.27,4.88,
ALL MANUFACTURERS,14 x 16 FT PASSIVE,14,16,4.27,4.88,
ALL MANUFACTURERS,1416RF,14,16,4.27,4.88,
ALL MANUFACTURERS,14X16 FT PASSIVE,14,16,4.27,4.88,
ALL MANUFACTURERS,14X16FT PASSIVE,14,16,4.27,4.88,
ALL MANUFACTURERS,PASSIVE 14 X 16,14,16,4.27,4.88,
ALL MANUFACTURERS,PASSIVE 14 X 16 FT,14,16,4.27,4.88,
MICROFLECT,14' x 16',14,16,4.27,4.88,
MICROFLECT,1416 8,14,16,4.27,4.88,
MICROFLECT,1416-8,14,16,4.27,4.88,
MICROFLECT,4.3m x 4.9m,14,16,4.27,4.88,
MTS,14 x 16 PR,14,16,4.27,4.88,
16 X 20 FT PASSIVE,All Manufactures,16,20,4.88,6.1,
16 X20 FT PASSIVE,All Manufacturers,16,20,4.88,6.1,
ALL,16X20 ft passive,16,20,4.88,6.1,
ALL MANUFACTURERS,16 x 20,16,20,4.88,6.1,
ALL MANUFACTURERS,16 x 20 FT PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,1620 RF,16,20,4.88,6.1,
ALL MANUFACTURERS,1620RF,16,20,4.88,6.1,
ALL MANUFACTURERS,16x20,16,20,4.88,6.1,
ALL MANUFACTURERS,16X20 FT PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,16x20 PASSIVE,16,20,4.88,6.1,
ALL MANUFACTURERS,16X20FTPassive,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive  16 X 20 feet,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive  16 X 20 Ft,16,20,4.88,6.1,
ALL MANUFACTURERS,Passive 16 X 20,16,20,4.88,6.1,
