antennaModelPrefix,height_ft,width_ft,height_m,width_m,notes
812,8,12,2.44,3.66,
1016,10,16,3.05,4.88,
1620,16,20,4.88,6.1,
2024,20,24,6.1,7.32,
1216,12,16,3.66,4.88,
0810RF,8,10,2.44,3.05,
0812-8,8,12,2.44,3.66,
0812RF,8,12,2.44,3.66,From Peter E's 06062021 data
10FOOTX16FOOT,10,16,3.05,4.88,
10X15FTPASSIVE,10,15,3.05,4.57,
10X16FOOT,10,16,3.05,4.88,
10X16FTPASSIVE,10,16,3.05,4.88,
10X16PASSIVE,10,16,3.05,4.88,
1015RF,10,15,3.05,4.57,
1016RF,10,16,3.05,4.88,
10X16,10,16,3.05,4.88,
10X24FTPASSIVE,10,24,3.05,7.32,
12-16,12,16,3.66,4.88,
12X16,12,16,3.66,4.88,
12X16PASSIVE,12,16,3.66,4.88,
1216RF,12,16,3.66,4.88,
1216-8,12,16,3.66,4.88,
12FTX16FT,12,16,3.66,4.88,
12X16FTPASSIVE,12,16,3.66,4.88,
14X16,14,16,4.27,4.88,
14X16FTPASSIVE,14,16,4.27,4.88,
14X16PR,14,16,4.27,4.88,
14168,14,16,4.27,4.88,
1416-8,14,16,4.27,4.88,
1416RF,14,16,4.27,4.88,
16X20,16,20,4.88,6.1,
16X20FTPASSIVE,16,20,4.88,6.1,
16X24,16,24,4.88,7.32,
1620RF,16,20,4.88,6.1,
1620-15,16,20,4.88,6.1,
1620-8,16,20,4.88,6.1,
1624RF,16,24,4.88,7.32,
16X20PASSIVE,16,20,4.88,6.1,
16X24FTPASSIVE,16,24,4.88,7.32,
2.4MX3.0M,8,10,2.44,3.05,
2.4MX3.7M,8,12,2.44,3.66,
20BY24PASSIVE,20,24,6.1,7.32,
20FOOTX24FOOT,20,24,6.1,7.32,
20X24,20,24,6.1,7.32,
20X24PASSIVE,20,24,6.1,7.32,
20X24FDTPASSIVE,20,24,6.1,7.32,
20X24FTPASSIVE,20,24,6.1,7.32,
20X30FTPASSIVE,20,30,6.1,9.14,
20X32,20,32,6.1,9.75,
20X32FT,20,32,6.1,9.75,
20X32FTPASSIVE,20,32,6.1,9.75,
20-24,20,24,6.1,7.32,
2024-8(20X24)),20,24,6.1,7.32,
2024RF,20,24,6.1,7.32,
2028RF,20,28,6.1,8.53,From Peter E's 06062021 data
202RF,20,2,6.1,0.61,
2030RF,20,30,6.1,9.14,
2032-15,20,32,6.1,9.75,
2032-15A,20,32,6.1,9.75,
2032RF,20,32,6.1,9.75,
20X24FOOTPASSIVE,20,24,6.1,7.32,
24X30,24,30,7.32,9.14,
24X30FT,24,30,7.32,9.14,
24X30FTPASSIVE,24,30,7.32,9.14,
24X30FTPASSVIE,24,30,7.32,9.14,
24X30PASSIVE,24,30,7.32,9.14,
24.30FTPASSIVE,24,30,7.32,9.14,
24-30,24,30,7.32,9.14,
2430-15,24,30,7.32,9.14,
2430-8,24,30,7.32,9.14,
2430RF,24,30,7.32,9.14,
24X30FT.PASSIVE,24,30,7.32,9.14,
3.0MX4.9M,10,16,3.05,4.88,
30X40PASSIVE,30,40,9.14,12.19,
30-32,30,32,9.14,9.75,
3032RF,30,32,9.14,9.75,
3040-8,30,40,9.14,12.19,
3040RF,30,40,9.14,12.19,
30X32FTPASSIVE,30,32,9.14,9.75,
30X40FTPASSIVE,30,40,9.14,12.19,
30X48FTPASSIVE,30,48,9.14,14.63,
4.3MX4.9M,14,16,4.27,4.88,
4.9MX6.1M,16,20,4.88,6.1,
4050RF,40,50,12.19,15.24,
40X50FTPASSIVE,40,50,12.19,15.24,
6X8FT,6,8,1.83,2.44,
6.1MX7.3M,20,24,6.1,7.32,
6X8FTPASSIVE,6,8,1.83,2.44,
7.3X9.1MPASSIVE,24,30,7.32,9.14,
7.3X9.1M.PASSIVE,24,30,7.32,9.14,
7.3MX9.1M,24,30,7.32,9.14,
8X10,8,10,2.44,3.05,
8X10FT,8,10,2.44,3.05,
8X10PASSIVE,8,10,2.44,3.05,
8X12,8,12,2.44,3.66,
8X12FTPASSIVE,8,12,2.44,3.66,
8X12PASSIVE,8,12,2.44,3.66,
8X10FOOTPASSIVE,8,10,2.44,3.05,
8X10FTPASSIVE,8,10,2.44,3.05,
8X10FT.PASSIVE,8,10,2.44,3.05,
8X12FT.PASSIVE,8,12,2.44,3.66,
8X19FTPASSIVE,8,19,2.44,5.79,
MICROFLECT8X12,8,12,2.44,3.66,
P1016,10,16,3.05,4.88,
PASSIVE16X20FEET,16,20,4.88,6.1,
PASSIVE16X20FT,16,20,4.88,6.1,
PASSIVE24X30,24,30,7.32,9.14,
PASSIVE08X12,8,12,2.44,3.66,
PASSIVE10X16,10,16,3.05,4.88,
PASSIVE10X18,10,18,3.05,5.49,
PASSIVE12X16FOOT,12,16,3.66,4.88,
PASSIVE14X16,14,16,4.27,4.88,
PASSIVE14X16FT,14,16,4.27,4.88,
PASSIVE16X20,16,20,4.88,6.1,
PASSIVE16X24,16,24,4.88,7.32,
PASSIVE20X24,20,24,6.1,7.32,
PASSIVE20X32,20,32,6.1,9.75,
PASSIVE4.9X6.1,16,20,4.88,6.1,
PR20X24,20,24,6.1,7.32,
PR3X5,10,16,3.05,4.88,
RTM812,8,12,2.44,3.66,
