manufacturerNormalized,antennaModelPrefix,note
RFS/Cablewave,DA659,
RFS/Cablewave,DA665,
RFS/Cablewave,DA6W57,
RFS/Cablewave,DAX1065,
RFS/Cablewave,DAX665,
RFS/Cablewave,DAX865,
Gabriel Electronics,DD664DSE,
Commscope/Andrew,HDH1065,
Commscope/Andrew,HDH665,
Commscope/Andrew,HDH865,
Commscope/Andrew,HDV665,
Commscope/Andrew,HDV865,
Commscope/Andrew,HP1057W,
Commscope/Andrew,HP657W,
Commscope/Andrew,HP857W,
Commscope/Andrew,P1059,
Commscope/Andrew,P1065,
Commscope/Andrew,P1259,
Commscope/Andrew,P1265,
Commscope/Andrew,P1559,
Commscope/Andrew,P1565,
Commscope/Andrew,P657W,
Commscope/Andrew,P659,"P6-59.  This prefix also matches the Mark Antenna P-6596, also a category B1 antenna.  "
Commscope/Andrew,P665,
Commscope/Andrew,P857W,
Commscope/Andrew,P859,
Commscope/Andrew,P865,
RFS/Cablewave,PA1059,
RFS/Cablewave,PA1065,
RFS/Cablewave,PA10W57,
RFS/Cablewave,PA10W59,
RFS/Cablewave,PA1259,
RFS/Cablewave,PA1265,
RFS/Cablewave,PA12W59,
RFS/Cablewave,PA659,
RFS/Cablewave,PA665,
RFS/Cablewave,PA6W57,
RFS/Cablewave,PA6W59,
RFS/Cablewave,PA859,
RFS/Cablewave,PA865,
RFS/Cablewave,PA8W57,
RFS/Cablewave,PA8W59,
Commscope/Andrew,PL1057W,
Commscope/Andrew,PL1059,
Commscope/Andrew,PL1065,
Commscope/Andrew,PL1259,
Commscope/Andrew,PL1265,
Commscope/Andrew,PL1559,
Commscope/Andrew,PL1565,
Commscope/Andrew,PL657W,
Commscope/Andrew,PL659,
Commscope/Andrew,PL665,
Commscope/Andrew,PL857W,
Commscope/Andrew,PL859,
Commscope/Andrew,PL865,
Commscope/Andrew,PXL1059,
Commscope/Andrew,PXL1065,
Commscope/Andrew,PXL1259,
Commscope/Andrew,PXL1265,
Commscope/Andrew,PXL659,
Commscope/Andrew,PXL665,
Commscope/Andrew,PXL859,
Commscope/Andrew,PXL865,
Gabriel Electronics,RFD8264BSE,
Radiowaves,SP659,
Radiowaves,SP664,
Radiowaves,SP859,
