channelFrequency,channelBandwidth,Notes
5925.225,0.4,
5925.425,0.8,
5925.625,1.25,
5926.05,0.4,
5926.25,2.5,
5926.45,0.4,
5926.875,1.25,
5927.075,0.8,
5927.275,0.4,
5927.725,0.4,
5927.925,0.8,
5928.125,1.25,
5928.55,0.4,
5928.75,2.5,
5928.95,0.4,
5929.375,1.25,
5929.575,0.8,
5929.775,0.4,
5935.32,10,
5945.2,30,
5955.08,10,
5960.025,60,
5964.97,10,
5974.85,30,
5984.73,10,
5994.62,10,
6004.5,30,
6014.38,10,
6019.325,60,
6024.27,10,
6034.15,30,
6044.03,10,
6053.92,10,
6063.8,30,
6073.68,10,
6078.625,60,
6083.57,10,
6093.45,30,
6103.33,10,
6108.893,1.25,
6109.51,2.5,
6110.128,1.25,
6110.75,5,
6111.364,3.75,
6111.981,2.5,
6112.599,1.25,
6113.22,10,
6113.834,1.25,
6114.452,2.5,
6115.07,1.25,
6115.69,5,
6116.305,3.75,
6116.394,2.5,
6116.923,2.5,
6117.541,1.25,
6118.776,1.25,
6120.011,1.25,
6120.63,5,
6121.247,3.75,
6121.865,2.5,
6122.482,1.25,
6123.1,30,
6123.718,1.25,
6124.335,2.5,
6124.953,1.25,
6125.57,5,
6126.189,3.75,
6126.806,2.5,
6127.424,1.25,
6128.659,1.25,
6129.277,2.5,
6129.895,1.25,
6130.51,5,
6131.13,3.75,
6131.748,2.5,
6132.366,1.25,
6132.98,10,
6133.601,1.25,
6134.219,2.5,
6134.836,1.25,
6135.45,5,
6136.072,3.75,
6136.69,2.5,
6137.307,1.25,
6137.925,60,
6138.543,1.25,
6139.16,2.5,
6139.778,1.25,
6140.4,5,
6141.014,3.75,
6141.631,2.5,
6142.249,1.25,
6142.87,10,
6143.484,1.25,
6144.102,2.5,
6144.72,1.25,
6145.34,5,
6145.955,3.75,
6146.573,2.5,
6147.191,1.25,
6148.426,1.25,
6149.044,2.5,
6149.661,1.25,
6150.28,5,
6150.897,3.75,
6151.515,2.5,
6152.132,1.25,
6152.75,30,
6153.368,1.25,
6153.985,2.5,
6154.603,1.25,
6155.22,5,
6155.839,3.75,
6156.456,2.5,
6157.074,1.25,
6158.309,1.25,
6158.927,2.5,
6159.545,1.25,
6160.16,5,
6160.78,3.75,
6161.398,2.5,
6162.016,1.25,
6162.63,10,
6163.251,1.25,
6163.869,2.5,
6164.486,1.25,
6165.1,5,
6165.722,3.75,
6166.34,2.5,
6166.957,1.25,
6168.35,0.4,
6168.55,0.8,
6168.75,1.25,
6169.175,0.4,
6169.375,2.5,
6169.575,0.4,
6170,1.25,
6170.2,0.8,
6170.4,0.4,
6170.85,0.4,
6171.05,0.8,
6171.25,1.25,
6171.675,0.4,
6171.875,2.5,
6172.075,0.4,
6172.5,1.25,
6172.7,0.8,
6172.9,0.4,
6177.1,0.4,
6177.3,0.8,
6177.5,1.25,
6177.925,0.4,
6178.125,2.5,
6178.325,0.4,
6178.75,1.25,
6178.95,0.8,
6179.15,0.4,
6179.6,0.4,
6179.8,0.8,
6180,1.25,
6180.425,0.4,
6180.625,2.5,
6180.825,0.4,
6181.25,1.25,
6181.45,0.8,
6181.65,0.4,
6187.36,10,
6197.24,30,
6207.12,10,
6212.065,60,
6217.01,10,
6226.89,30,
6236.77,10,
6246.66,10,
6256.54,30,
6266.42,10,
6271.365,60,
6276.31,10,
6286.19,30,
6296.07,10,
6305.96,10,
6315.84,30,
6325.72,10,
6330.665,60,
6335.61,10,
6345.49,30,
6355.37,10,
6360.993,1.25,
6361.55,2.5,
6362.168,1.25,
6362.79,5,
6363.404,3.75,
6364.021,2.5,
6364.639,1.25,
6365.26,10,
6365.874,1.25,
6366.492,2.5,
6367.11,1.25,
6367.73,5,
6368.345,3.75,
6368.963,2.5,
6369.581,1.25,
6370.816,1.25,
6371.434,2.5,
6372.051,1.25,
6372.67,5,
6373.287,3.75,
6373.905,2.5,
6374.522,1.25,
6375.14,30,
6375.758,1.25,
6376.375,2.5,
6376.993,1.25,
6377.61,5,
6378.229,3.75,
6378.846,2.5,
6379.464,1.25,
6380.699,1.25,
6381.317,2.5,
6381.935,1.25,
6382.55,5,
6383.17,3.75,
6383.788,2.5,
6384.406,1.25,
6385.02,10,
6385.641,1.25,
6386.259,2.5,
6386.876,1.25,
6387.49,5,
6388.112,3.75,
6388.73,2.5,
6389.347,1.25,
6389.965,60,
6390.583,1.25,
6391.2,2.5,
6391.818,1.25,
6392.44,5,
6393.054,3.75,
6393.671,2.5,
6394.289,1.25,
6394.91,10,
6395.524,1.25,
6396.142,2.5,
6396.76,1.25,
6397.38,5,
6397.995,3.75,
6398.613,2.5,
6399.231,1.25,
6400.466,1.25,
6401.084,2.5,
6401.701,1.25,
6402.32,5,
6402.937,3.75,
6403.555,2.5,
6404.172,1.25,
6404.79,30,
6405.408,1.25,
6406.025,2.5,
6406.643,1.25,
6407.26,5,
6407.879,3.75,
6408.496,2.5,
6409.114,1.25,
6410.349,1.25,
6410.967,2.5,
6411.585,1.25,
6412.2,5,
6412.82,3.75,
6413.438,2.5,
6414.056,1.25,
6414.67,10,
6415.291,1.25,
6415.909,2.5,
6416.526,1.25,
6417.14,5,
6417.762,3.75,
6418.38,2.5,
6418.997,1.25,
6420.225,0.4,
6420.425,0.8,
6420.625,1.25,
6421.05,0.4,
6421.25,2.5,
6421.45,0.4,
6421.875,1.25,
6422.075,0.8,
6422.275,0.4,
6422.725,0.4,
6422.925,0.8,
6423.125,1.25,
6423.55,0.4,
6423.75,2.5,
6423.95,0.4,
6424.375,1.25,
6424.575,0.8,
6425.775,0.4,
6525.225,0.4,
6525.425,0.8,
6525.625,1.25,
6526.05,0.4,
6526.25,2.5,
6526.45,0.4,
6526.875,1.25,
6527.075,0.8,
6527.275,0.4,
6527.725,0.4,
6527.925,0.8,
6528.125,1.25,
6528.55,0.4,
6528.75,2.5,
6528.95,0.4,
6529.375,1.25,
6529.575,0.8,
6529.775,0.4,
6540.625,1.25,
6541.25,2.5,
6541.875,1.25,
6543.125,1.25,
6543.75,2.5,
6544.375,1.25,
6545,10,
6545.625,3.75,
6546.25,2.5,
6546.875,1.25,
6548.125,1.25,
6548.75,2.5,
6549.375,1.25,
6550,5,
6550.625,3.75,
6551.25,2.5,
6551.875,1.25,
6553.125,1.25,
6553.75,2.5,
6554.375,1.25,
6555,30,
6555.625,3.75,
6556.25,2.5,
6556.875,1.25,
6558.125,1.25,
6558.75,2.5,
6559.375,1.25,
6560,5,
6560.625,3.75,
6561.25,2.5,
6561.875,1.25,
6563.125,1.25,
6563.75,2.5,
6564.375,1.25,
6565,10,
6565.625,3.75,
6566.25,2.5,
6566.875,1.25,
6568.125,1.25,
6568.75,2.5,
6569.375,1.25,
6580.625,1.25,
6581.25,2.5,
6581.875,1.25,
6583.125,1.25,
6583.75,2.5,
6584.375,1.25,
6585,10,
6585.625,3.75,
6586.25,2.5,
6586.875,1.25,
6588.125,1.25,
6588.75,2.5,
6589.375,1.25,
6590,5,
6590.625,3.75,
6591.25,2.5,
6591.875,1.25,
6593.125,1.25,
6593.75,2.5,
6594.375,1.25,
6595,30,
6595.625,3.75,
6596.25,2.5,
6596.875,1.25,
6598.125,1.25,
6598.75,2.5,
6599.375,1.25,
6600,5,
6600.625,3.75,
6601.25,2.5,
6601.875,1.25,
6603.125,1.25,
6603.75,2.5,
6604.375,1.25,
6605,10,
6605.625,3.75,
6606.25,2.5,
6606.875,1.25,
6608.125,1.25,
6608.75,2.5,
6609.375,1.25,
6610,5,
6610.625,3.75,
6611.25,2.5,
6611.875,1.25,
6613.125,1.25,
6613.75,2.5,
6614.375,1.25,
6615,10,
6615.625,3.75,
6616.25,2.5,
6616.875,1.25,
6618.125,1.25,
6618.75,2.5,
6619.375,1.25,
6620,5,
6620.625,3.75,
6621.25,2.5,
6621.875,1.25,
6623.125,1.25,
6623.75,2.5,
6624.375,1.25,
6625,30,
6625.625,3.75,
6626.25,2.5,
6626.875,1.25,
6628.125,1.25,
6628.75,2.5,
6629.378,1.25,
6630,5,
6630.625,3.75,
6631.25,2.5,
6631.875,1.25,
6633.125,1.25,
6633.75,2.5,
6634.375,1.25,
6635,10,
6635.625,3.75,
6636.25,2.5,
6636.875,1.25,
6638.125,1.25,
6638.75,2.5,
6639.375,1.25,
6640,5,
6640.625,3.75,
6641.25,2.5,
6641.875,1.25,
6643.125,1.25,
6643.75,2.5,
6644.375,1.25,
6645,10,
6645.625,3.75,
6646.25,2.5,
6646.875,1.25,
6648.125,1.25,
6648.75,2.5,
6649.375,1.25,
6650,5,
6650.625,3.75,
6651.25,2.5,
6651.875,1.25,
6653.125,1.25,
6653.75,2.5,
6654.375,1.25,
6655,30,
6655.625,3.75,
6656.25,2.5,
6656.875,1.25,
6658.125,1.25,
6658.75,2.5,
6659.375,1.25,
6660,5,
6660.625,3.75,
6661.25,2.5,
6661.875,1.25,
6663.125,1.25,
6663.75,2.5,
6664.375,1.25,
6665,10,
6665.625,3.75,
6666.25,2.5,
6666.875,1.25,
6668.125,1.25,
6668.75,2.5,
6669.375,1.25,
6670,5,
6670.625,3.75,
6671.25,2.5,
6671.875,1.25,
6673.125,1.25,
6673.75,2.5,
6674.375,1.25,
6675,10,
6675.625,3.75,
6676.25,2.5,
6676.875,1.25,
6678.125,1.25,
6678.75,2.5,
6679.375,1.25,
6680,5,
6680.625,3.75,
6681.25,2.5,
6681.875,1.25,
6683.125,1.25,
6683.75,2.5,
6684.375,1.25,
6685,30,
6685.625,3.75,
6686.25,2.5,
6686.875,1.25,
6688.125,1.25,
6688.75,2.5,
6689.375,1.25,
6690,5,
6690.625,3.75,
6691.25,2.5,
6691.875,1.25,
6693.125,1.25,
6693.75,2.5,
6694.375,1.25,
6695,10,
6695.625,3.75,
6696.25,2.5,
6696.875,1.25,
6698.125,1.25,
6698.75,2.5,
6699.375,1.25,
6700,5,
6700.625,3.75,
6701.25,2.5,
6701.875,1.25,
6703.125,1.25,
6703.75,2.5,
6704.375,1.25,
6705,10,
6705.625,3.75,
6706.25,2.5,
6706.875,1.25,
6708.125,1.25,
6708.75,2.5,
6709.375,1.25,
6710.625,3.75,
6711.25,2.5,
6711.875,1.25,
6713.125,1.25,
6713.75,2.5,
6714.375,1.25,
6715,10,
6715.625,3.75,
6716.25,2.5,
6716.875,1.25,
6718.125,1.25,
6718.75,2.5,
6719.375,1.25,
6720.625,3.75,
6721.25,2.5,
6721.875,1.25,
6723.125,1.25,
6723.75,2.5,
6724.375,1.25,
6725,30,
6725.625,3.75,
6726.25,2.5,
6726.875,1.25,
6728.125,1.25,
6728.75,2.5,
6729.375,1.25,
6730,5,
6730.625,3.75,
6731.25,2.5,
6731.875,1.25,
6733.125,1.25,
6733.75,2.5,
6734.375,1.25,
6735,10,
6735.625,3.75,
6736.25,2.5,
6736.875,1.25,
6738.125,1.25,
6738.75,2.5,
6739.375,1.25,
6740,5,
6740.625,3.75,
6741.25,2.5,
6741.875,1.25,
6743.125,1.25,
6743.75,2.5,
6744.375,1.25,
6745,10,
6745.625,3.75,
6746.25,2.5,
6746.875,1.25,
6748.125,1.25,
6748.75,2.5,
6749.375,1.25,
6750,5,
6750.625,3.75,
6751.25,2.5,
6751.875,1.25,
6753.125,1.25,
6753.75,2.5,
6754.375,1.25,
6755,30,
6755.625,3.75,
6756.25,2.5,
6756.875,1.25,
6758.125,1.25,
6758.75,2.5,
6759.375,1.25,
6760,5,
6760.625,3.75,
6761.25,2.5,
6761.875,1.25,
6763.125,1.25,
6763.75,2.5,
6764.375,1.25,
6765,10,
6765.625,3.75,
6766.25,2.5,
6766.875,1.25,
6768.125,1.25,
6768.75,2.5,
6769.375,1.25,
6770,5,
6770.625,3.75,
6771.25,2.5,
6771.875,1.25,
6773.125,1.25,
6773.75,2.5,
6774.375,1.25,
6775,10,
6775.625,3.75,
6776.25,2.5,
6776.875,1.25,
6778.125,1.25,
6778.75,2.5,
6779.375,1.25,
6780,5,
6780.625,3.75,
6781.25,2.5,
6781.875,1.25,
6783.125,1.25,
6783.75,2.5,
6784.375,1.25,
6785,30,
6785.625,3.75,
6786.25,2.5,
6786.875,1.25,
6788.125,1.25,
6788.75,2.5,
6789.375,1.25,
6790,5,
6790.625,3.75,
6791.25,2.5,
6791.875,1.25,
6793.125,1.25,
6793.75,2.5,
6794.375,1.25,
6795,10,
6795.625,3.75,
6796.25,2.5,
6796.875,1.25,
6798.125,1.25,
6798.75,2.5,
6799.375,1.25,
6800,5,
6800.625,3.75,
6801.25,2.5,
6801.875,1.25,
6803.125,1.25,
6803.75,2.5,
6804.375,1.25,
6805,10,
6805.625,3.75,
6806.25,2.5,
6806.875,1.25,
6808.125,1.25,
6808.75,2.5,
6809.375,1.25,
6810,5,
6810.625,3.75,
6811.25,2.5,
6811.875,1.25,
6813.125,1.25,
6813.75,2.5,
6814.375,1.25,
6815,30,
6815.625,3.75,
6816.25,2.5,
