manufacturerNormalized,antennaModelPrefix,note
Gabriel Electronics,UCC1059,
Gabriel Electronics,UCC10X59DSE,
Gabriel Electronics,UCC1259A,
Gabriel Electronics,UCC659A,
Gabriel Electronics,UCC6X59A,
Gabriel Electronics,UCC859A,
Gabriel Electronics,UCC859B,
Gabriel Electronics,UCC8X59CSE,
Commscope/Andrew,UHP659W,
Commscope/Andrew,UHP859W,
Commscope/Andrew,UHX1059,
Commscope/Andrew,UHX1259,
Commscope/Andrew,UHX1265,
Commscope/Andrew,UHX659,
Commscope/Andrew,UHX665,
Commscope/Andrew,UHX859,
Commscope/Andrew,UHX865,
Gabriel Electronics,UWB105968,
Gabriel Electronics,UWB65968SE,
Gabriel Electronics,UWB65971SE,
Gabriel Electronics,UWB85968,
Gabriel Electronics,UWB85971A,
