manufacturerNormalized,radioModelPrefix,notes
LENKURT ELECTRIC CO,778A2,"Source: Peter Young, Comsearch. "
GTE LENKURT,778B3,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",95MPR11H,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR11L,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR61H,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR61L,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR65L,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR67H,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR67L,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPR6H,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPRH,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPRL,"Source: Tom Willis, AT&T.  "
"Alcatel-Lucent USA, Inc.",95MPRT61H,"Source: Tom Willis, AT&T.  "
MOTOROLA,ABZ89FC6601,"Source: Peter Young, Comsearch. "
ROCKWELL INTERNATIONAL,AJN9UO8609,"Source: Peter Young, Comsearch. "
ROCKWELL INTERNATIONAL,AJN9UO8814,"Source: Peter Young, Comsearch. "
ROCKWELL INTERNATIONAL,AJN9UOMAR6,"Source: Peter Young, Comsearch. "
ROCKWELL INTERNATIONAL,AJN9UOMIR6,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",ALU95MPR61,"Source: Tom Willis, AT&T.  "
MICROWAVE NETWORKS,AMTM6,"Source: Peter Young, Comsearch. "
"AT&T TECHNOLOGIES, INC",AS593MDR6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",BCK9GKDVM6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",BCK9GKFE8303,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",BCK9GKMSTR0630,"Source: Peter Young, Comsearch. "
AVANTEK INC,BNB866DR6,"Source: Peter Young, Comsearch. "
NEC AMERICA,BSF6P155,"Source: Peter Young, Comsearch. "
NEC AMERICA,BSF89N6P,"Source: Peter Young, Comsearch. "
M/A COM MAC INC,BV88U4MA6,"Source: Peter Young, Comsearch. "
MOTOROLA,CC6002,"Source: Peter Young, Comsearch. "
"CIELO NETWORKS, INC.",CGAIL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",CTRI6,"Source: Peter Young, Comsearch. "
NORTHERN TELECOM,CXP7UJ6X,"Source: Peter Young, Comsearch. "
NORTHERN TELECOM,CXP7UJRD6,"Source: Peter Young, Comsearch. "
MRC Vislink,DRP068,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",DXR768,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",DYHDMC6,"Source: Peter Young, Comsearch. "
EXALT COMMUNICATIONS INC.,E600511,"Source: Peter Young, Comsearch. "
EXALT COMMUNICATIONS INC.,E606511,"Source: Peter Young, Comsearch. "
EXALT COMMUNICATIONS INC.,E6500511,"Source: Peter Young, Comsearch. "
EXALT COMMUNICATIONS INC.,E650511,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",ECLIPSECONNECT,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",ECLIPSEIRU,"Source: Peter Young, Comsearch. "
MRC Vislink,FC35DZMRCFLR6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",FL16,"Source: Peter Young, Comsearch. "
"Trango Systems, Inc.",GIGALONGHAUL,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",HRS52L6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",HRS52U6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",HRSCX06,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",HS64E06,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I600,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I63HL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I63HU6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V2HL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V3EHL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V3SL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V3SU6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4EHL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4EHU6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4EL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4HL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4HU6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4SL6,"Source: Peter Young, Comsearch. "
"Aviat Networks, Inc.",I6V4SU6,"Source: Peter Young, Comsearch. "
MOTOROLA MICROWAVE,IEP89FC6601,"Source: Peter Young, Comsearch. "
Ceragon Networks,IP20B6A,"Source: Peter Young, Comsearch. "
Ceragon Networks,IP20G6A,"Source: Peter Young, Comsearch. "
TELESCIENCES TRANSMISSION SYSTEMS INC,IVO6G,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF6?8814,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF60408,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF66406,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68421,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68609,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF6880,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68801,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68803,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68814,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68909,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF68913,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF690214,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69101,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF6913,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69204,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69205,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69206,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF6921,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69213,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69214,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69215,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69216,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69219,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69245,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69301,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69401,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69402,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69403,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69404,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69405,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69406,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69407,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69408,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69409,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69419,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69420,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69421,"Source: Peter Young, Comsearch. "
"Alcatel-Lucent USA, Inc.",JF69425,"Source: Peter Young, Comsearch. "
MICROWAVE NETWORKS,LBW6G,"Source: Peter Young, Comsearch. "
MICROWAVE NETWORKS,LBW89FC6601,"Source: Peter Young, Comsearch. "
MICROWAVE NETWORKS,LBWCM6,"Source: Peter Young, Comsearch. "
ERICSSON,LH06,"Source: Peter Young, Comsearch. "
LigoWave,LIGOPTP6,"Source: Peter Young, Comsearch. "
MOTOROLA,MA391,"Source: Peter Young, Comsearch. "
M/A COM,MA85T06G,"Source: Peter Young, Comsearch. "
