manufacturerNormalized,radioModelPrefix,architecture,notes
HARRIS,06G155M,IDU,"This prefix is currently unique to Aviat/Harris, and an indoor unit. "
AVIAT,100V3SU610M64QDS3,Unknown,
AVIAT,1600HL,IDU,1 interpreted as I meaning Indoor in Aviat's notation
AVIAT,1600HU,IDU,1 interpreted as I meaning Indoor in Aviat's notation
AVIAT,1600SL,IDU,1 interpreted as I meaning Indoor in Aviat's notation
AVIAT,1600SU,IDU,1 interpreted as I meaning Indoor in Aviat's notation
AVIAT,1600V,IDU,1 interpreted as I meaning Indoor in Aviat's notation
AVIAT,160SU65M128Q16T24,Unknown,
AVIAT,163HL630MACMR70,Unknown,
AVIAT,16V3EHPU610M45,Unknown,
AVIAT,16V3HL630M189AMP,Unknown,
AVIAT,16V3HL630M189AMR,Unknown,
AVIAT,16V3SL630M189,Unknown,
AVIAT,16V3SU65M24,Unknown,
AVIAT,16V4HL630MACMR70,Unknown,
AVIAT,16V4SL630M128Q155R70,Unknown,
NORTEL,1717000,Unknown,
CERAGON,1IP20B6HP30XACM,ODU,
CERAGON,1P106T30128QAM5,Unknown,
MDS,1P106T30256QAN7,Unknown,
NEC,20000SDH,Unknown,
NEC,2000NEC,Unknown,
NEC,2000SDH,IDU,https://www.slideshare.net/Walter1111/nec-2000-series
NEC,2004SDH,Unknown,
WESTERN MULTIPLEX,26011,Unknown,
NORTEL,27D201,Unknown,
ROCKWELL,2K7801,Unknown,
MOTOROLA,2YHI01,Unknown,
VARIOUS,30M0D7W,Unknown,
VARIOUS,30M0D9W,Unknown,
VARIOUS,30M0F7W,Unknown,
EXALT,3600511256Q30MHZ,Unknown,
VARIOUS,3M50D7W,Unknown,
ALCATEL,4000E,Unknown,
ALCATEL,4306EC,Unknown,
HARRIS,45641,Unknown,
HARRIS,45642,Unknown,
CAMBIUM,48630,Unknown,
ALCATEL,5000SERIES,Unknown,
AVIAT,500HL630MO64139MB,Unknown,
ALCATEL,5606,Unknown,
ALCATEL,5MPR61L1024A30227,IDU,
STAR MICROWAVE,6000,Unknown,
ALCATEL,60045000,Unknown,
AVIAT,600H111,Unknown,
AVIAT,600HL,Unknown,
AVIAT,600HU,Unknown,
AVIAT,600KL630M0100T1LO,Unknown,
AVIAT,600L630M064135MB,Unknown,
AVIAT,600SL30M0256115T,Unknown,
AVIAT,600SL610M029T1LO,Unknown,
AVIAT,600SL610M06429T,Unknown,
AVIAT,600SL630M0100T1LO,Unknown,
AVIAT,600SL630M0115T1HG,Unknown,
HARRIS,600SL630M0115T1HG,Unknown,
AVIAT,600SL630M0128100T,Unknown,
AVIAT,600SL630M0128OC3,Unknown,
AVIAT,600SL630M01688MB,Unknown,
